k,clean_environ,health,counselling,school,media,clean_air
0.0000236308 ,0.183975499,0.08462873,0.05519265,0.231809129,0.09566726,0.08462873
0.0001392220 ,0.237044633,0.079014878,0.036468405,0.127639418,0.17018589,0.194498161
-0.0000169958 ,0.314611788,0.117979421,0.048579761,0.159619216,0.078652947,0.043953117
-0.0000656039 ,0.220223519,0.08675472,0.02669376,0.213550079,0.140142239,0.11344848
0.0000979640 ,0.407861153,0.117581594,0.102883894,0.058790797,0.055116372,0.213116638
0.0000477872 ,0.240298371,0.033740525,0.074887506,0.134139159,0.027157008,0.148129133
0.0000006900 ,0.223776239,0.028622542,0.014311271,0.212067017,0.081964553,0.154821933
0.0000393461 ,0.313760769,0.046238429,0.066054899,0.112293328,0.049541174,0.208072931
0.0000108052 ,0.040545749,0.097020185,0.111500809,0.201280682,0.037649624,0.17666362
0.0001035477 ,0.20108508,0.109682771,0.069465755,0.160868064,0.021936554,0.095058402
0.0000305393 ,0.080776202,0.059589002,0.052968001,0.199954205,0.101963403,0.154931404
-0.0000045642 ,0.095312796,0.080149396,0.025994399,0.129971994,0.142969193,0.197124191
-0.0000202855 ,0.045252907,0.075421512,0.090505814,0.160899225,0.070393411,0.261461241
-0.0000115460 ,0.147782928,0.117797986,0.066395229,0.229170628,0.059969884,0.319125454
0.0000472290 ,0.121185709,0.036722942,0.051412119,0.187287005,0.121185709,0.179942417
0.0000895286 ,0.292765523,0.042584076,0.031938057,0.159690285,0.122429219,0.202274361
0.0000220291 ,0.240083593,0.072752604,0.065477343,0.123679427,0.094578385,0.138229947
-0.0000059780 ,0.217077381,0.094203392,0.077820193,0.315376572,0.036862197,0.11877819
0.0000342580 ,0.093890444,0.072223419,0.07583459,0.404451145,0.097501615,0.050556393
-0.0000459879 ,0.186893394,0.091370103,0.070604171,0.224272072,0.128748782,0.128748782
-0.0000124869 ,0.150579638,0.106164061,0.044415577,0.121330356,0.094247687,0.153829558
0.0000630872 ,0.085901553,0.042950776,0.042950776,0.196346407,0.15339563,0.15339563
0.0000006447 ,0.217966443,0.100146744,0.064800835,0.200293488,0.04712788,0.200293488
-0.0000096061 ,0.148943351,0.111707513,0.088435114,0.232723985,0.041890317,0.121016472
-0.0000276157 ,0.246052193,0.072368292,0.03377187,0.106140161,0.057894634,0.20745577
0.0000399746 ,0.220476201,0.017200271,0.098510643,0.170439049,0.168875388,0.089128677
0.0000291069 ,0.110323002,0.121494951,0.118701964,0.047480785,0.099151052,0.326779524
0.0000556337 ,0.196952502,0.063630808,0.069690885,0.121201539,0.078781001,0.196952502
-0.0000443857 ,0.139919364,0.076622509,0.023319894,0.2731759,0.073291095,0.149913604
0.0000320217 ,0.150913367,0.083840759,0.023954503,0.198822372,0.015570427,0.160495168
0.0000210419 ,0.282714481,0.082078398,0.082078398,0.173276617,0.095758131,0.104877953
0.0000475549 ,0.385901061,0.092677027,0.051656048,0.004557887,0.16256462,0.151929552
0.0000725074 ,0.287216059,0.05961088,0.037934197,0.119221761,0.102964248,0.097545077
-0.0000635216 ,0.216853199,0.02710665,0.073575192,0.220725577,0.151022763,0.120043735
-0.0000111228 ,0.132048742,0.099036557,0.033012186,0.25089261,0.039614623,0.105638994
0.0000223367 ,0.109915779,0.119908123,0.069946405,0.204843043,0.134896638,0.169869841
0.0000192440 ,0.207786132,0.069262044,0.06233584,0.152376497,0.041557226,0.228564745
0.0001203786 ,0.245728725,0.070740087,0.07446325,0.245728725,0.07446325,0.033508462
-0.0000452641 ,0.206899308,0.035672295,0.092747966,0.135554719,0.092747966,0.285378356
0.0000243002 ,0.212845473,0.08732122,0.054575762,0.158269711,0.065490915,0.13098183
0.0000801887 ,0.095581992,0.052570096,0.066907394,0.205501283,0.095581992,0.152931187
-0.0000692903 ,0.24282588,0.072088933,0.030353235,0.163148638,0.072088933,0.2162668
-0.0001640521 ,0.124048071,0.198476914,0.049619229,0.3473346,0.124048071,0.421763443
0.0000649134 ,0.141433162,0.004419786,0.08397594,0.318224614,0.114914444,0.172371666
0.0000259529 ,0.282116513,0.11481486,0.055767218,0.137777832,0.062328067,0.167301653
0.0000558585 ,0.213568269,0.082671588,0.058559041,0.103339485,0.048225093,0.251459413
0.0000036543 ,0.229824996,0.035087786,0.068421182,0.145614311,0.047368511,0.228070607
0.0000372441 ,0.261660967,0.081966086,0.034677959,0.119796587,0.151322005,0.078813544
-0.0000438422 ,0.123102254,0.131309071,0.180549972,0.221584057,0.123102254,0.123102254
-0.0001150565 ,0.280335628,0.048333729,0.024166864,0.169168051,0.029000237,0.169168051
-0.0000517416 ,0.188493371,0.065247705,0.085184504,0.108746176,0.110558612,0.23742915
-0.0000236215 ,0.28937234,0.064304965,0.039297478,0.150044917,0.096457447,0.110747439
0.0000673950 ,0.301025312,0.108881496,0.064047939,0.224167786,0.032023969,0.102476702
0.0000897962 ,0.151412183,0.108151559,0.056238811,0.285520116,0.108151559,0.116803684
0.0000177298 ,0.233315398,0.017071858,0.056906195,0.170718584,0.051215575,0.147956106
0.0000647706 ,0.20797627,0.076622836,0.083920249,0.233517215,0.116758607,0.087568956
0.0000731949 ,0.211247227,0.081248933,0.016249787,0.216663822,0.037916169,0.189580845
0.0000298688 ,0.195426252,0.039537103,0.040666735,0.11183352,0.067777891,0.17848178
0.0000570088 ,0.154932086,0.067361777,0.05725751,0.218925774,0.097674576,0.14482782
-0.0000196572 ,0.201532903,0.080613161,0.045344903,0.191456258,0.090689807,0.196494581
0.0000390255 ,0.224907003,0.027620158,0.047348843,0.240689951,0.098643423,0.149938002
0.0000398314 ,0.149303971,0.054172237,0.070027526,0.187620919,0.056814785,0.220652771
-0.0000486046 ,0.251297049,0.017212127,0.065406081,0.216872796,0.110157611,0.234084923
